PhiDot;Phi;Temp;kf 
0.1;0.6;300;699.36
0.1;0.62;300;700.23
0.1;0.64;300;701.17
0.1;0.66;300;701.64
0.1;0.68;300;702.58
0.1;0.7;300;703.05
1.5;0.04;300;336.82
1.5;0.06;300;408.98
1.5;0.08;300;461.23
1.5;0.1;300;501.44
1.5;0.12;300;532.26
1.5;0.14;300;557.46
1.5;0.16;300;577.76
1.5;0.18;300;595.08
1.5;0.2;300;608.33
1.5;0.22;300;620.59
1.5;0.24;300;631.08
1.5;0.26;300;640.68
1.5;0.28;300;649.6
1.5;0.3;300;657.61
1.5;0.32;300;664.94
1.5;0.34;300;672.39
1.5;0.36;300;678.58
1.5;0.38;300;684.35
1.5;0.4;300;690.08
1.5;0.42;300;694.87
1.5;0.44;300;699.55
1.5;0.46;300;703.5
1.5;0.48;300;707.76
1.5;0.5;300;711.05
1.5;0.52;300;714.35
1.5;0.54;300;717.17
1.5;0.56;300;720.37
1.5;0.58;300;723.28
1.5;0.6;300;725.64
1.5;0.62;300;728.14
1.5;0.64;300;730.35
1.5;0.66;300;732.23
1.5;0.68;300;733.64
1.5;0.7;300;735.05
90;0.04;300;329.42
90;0.06;300;373.2
90;0.08;300;405.82
90;0.1;300;429.98
90;0.12;300;449.91
90;0.14;300;467.39
90;0.16;300;483
90;0.18;300;497.19
90;0.2;300;510.79
90;0.22;300;523.71
90;0.24;300;534.61
90;0.26;300;543.16
90;0.28;300;551.43
90;0.3;300;558.58
90;0.32;300;564.23
90;0.34;300;569.41
90;0.36;300;574.58
90;0.38;300;579.29
90;0.4;300;583.73
90;0.42;300;586.82
90;0.44;300;590.01
90;0.46;300;592.94
90;0.48;300;594.87
90;0.5;300;597.31
90;0.52;300;599.06
90;0.54;300;600
90;0.56;300;600.94
90;0.58;300;601.41
90;0.6;300;601.81
90;0.62;300;601.56
90;0.64;300;601.65
90;0.66;300;601.88
90;0.68;300;600.94
90;0.7;300;600.94
0.1;0.04;400;306.42
0.1;0.06;400;364.3
0.1;0.08;400;419.92
0.1;0.1;400;455.79
0.1;0.12;400;483.33
0.1;0.14;400;503.22
0.1;0.16;400;519.82
0.1;0.18;400;533.56
0.1;0.2;400;546.44
0.1;0.22;400;556.52
0.1;0.24;400;565.53
0.1;0.26;400;573.95
0.1;0.28;400;580.72
0.1;0.3;400;587.37
0.1;0.32;400;592.62
0.1;0.34;400;598.38
0.1;0.36;400;603.07
0.1;0.38;400;607.42
0.1;0.4;400;611.53
0.1;0.42;400;614.63
0.1;0.44;400;618.1
0.1;0.46;400;620.45
0.1;0.48;400;622.38
0.1;0.5;400;624.81
0.1;0.52;400;626.56
0.1;0.54;400;628.91
0.1;0.56;400;630.69
0.1;0.58;400;632.19
0.1;0.6;400;634.07
0.1;0.62;400;635.95
0.1;0.64;400;637.83
0.1;0.66;400;639.08
0.1;0.68;400;640.65
0.1;0.7;400;642.53
1.5;0.04;400;372.81
1.5;0.06;400;434.26
1.5;0.08;400;474.88
1.5;0.1;400;506.12
1.5;0.12;400;531.24
1.5;0.14;400;552.91
1.5;0.16;400;570.55
1.5;0.18;400;586.68
1.5;0.2;400;600.46
1.5;0.22;400;612.41
1.5;0.24;400;623.27
1.5;0.26;400;632.66
1.5;0.28;400;641.12
1.5;0.3;400;648.63
1.5;0.32;400;655.68
1.5;0.34;400;662.17
1.5;0.36;400;667.89
