PhiDot;Phi;Temp;kf
0.1;0.12;300;661.64
0.1;0.14;300;686.12
0.1;0.16;300;704.18
0.1;0.18;300;716.38
0.1;0.2;300;726.97
0.1;0.22;300;736.35
0.1;0.24;300;744.91
0.1;0.26;300;752.37
0.1;0.28;300;758.92
0.1;0.3;300;765
0.1;0.32;300;770.62
0.1;0.34;300;775.3
0.1;0.36;300;779.08
0.1;0.38;300;783.25
0.1;0.4;300;786.06
0.1;0.42;300;788.68
0.1;0.44;300;791.2
0.1;0.46;300;793.08
0.1;0.48;300;794.95
0.1;0.5;300;796.35
0.1;0.52;300;798.22
0.1;0.54;300;799.63
0.1;0.56;300;800.09
0.1;0.58;300;801.5
0.1;0.6;300;801.97
0.1;0.62;300;802.58
0.1;0.64;300;803.84
0.1;0.66;300;804.31
0.1;0.68;300;804.77
0.1;0.7;300;805.71
1.5;0.04;300;462.3
1.5;0.06;300;518.93
1.5;0.08;300;561.82
1.5;0.1;300;596.76
1.5;0.12;300;621.39
1.5;0.14;300;640.17
1.5;0.16;300;656.33
1.5;0.18;300;669.59
1.5;0.2;300;682.39
1.5;0.22;300;693.36
1.5;0.24;300;703.74
1.5;0.26;300;713.17
1.5;0.28;300;721.68
1.5;0.3;300;730.18
1.5;0.32;300;736.93
1.5;0.34;300;743.91
1.5;0.36;300;750.11
1.5;0.38;300;756.58
1.5;0.4;300;762.86
1.5;0.42;300;768.28
1.5;0.44;300;774.25
1.5;0.46;300;779.51
1.5;0.48;300;784.71
1.5;0.5;300;789.33
1.5;0.52;300;794.69
1.5;0.54;300;799.16
1.5;0.56;300;803.28
1.5;0.58;300;807.58
1.5;0.6;300;812.33
1.5;0.62;300;816.47
1.5;0.64;300;819.75
1.5;0.66;300;823.96
1.5;0.68;300;827.62
1.5;0.7;300;831.44
90;0.04;300;516.73
90;0.06;300;577.18
90;0.08;300;624.98
90;0.1;300;664.61
90;0.12;300;696.72
90;0.14;300;722.7
90;0.16;300;742.89
90;0.18;300;760.83
90;0.2;300;776.43
90;0.22;300;791.57
90;0.24;300;804.36
90;0.26;300;815.53
90;0.28;300;824.33
90;0.3;300;833.11
90;0.32;300;840.21
90;0.34;300;846.84
90;0.36;300;852.54
90;0.38;300;857.64
90;0.4;300;862.79
90;0.42;300;867
90;0.44;300;870.75
90;0.46;300;873.55
90;0.48;300;876.36
90;0.5;300;878.23
90;0.52;300;880.1
90;0.54;300;882.91
90;0.56;300;884.31
90;0.58;300;885.72
90;0.6;300;887.12
90;0.62;300;887.59
90;0.64;300;889.46
90;0.66;300;889.62
90;0.68;300;890.4
90;0.7;300;891.33
0.1;0.04;400;453.01
0.1;0.06;400;529.77
0.1;0.08;400;582.83
0.1;0.1;400;624.2
0.1;0.12;400;653.55
0.1;0.14;400;676.52
0.1;0.16;400;694.05
0.1;0.18;400;708.29
0.1;0.2;400;719.78
0.1;0.22;400;727.36
0.1;0.24;400;734.82
0.1;0.26;400;740.93
0.1;0.28;400;746.57
0.1;0.3;400;751.88
0.1;0.32;400;756.92
0.1;0.34;400;760.68
0.1;0.36;400;763.97
0.1;0.38;400;767.46
0.1;0.4;400;771.22
0.1;0.42;400;775.25
0.1;0.44;400;778.54
0.1;0.46;400;782.3
0.1;0.48;400;785.59
0.1;0.5;400;789.42
0.1;0.52;400;792.65
0.1;0.54;400;795.94
0.1;0.56;400;798.76
0.1;0.58;400;802.99
0.1;0.6;400;805.81
0.1;0.62;400;809.91
0.1;0.64;400;812.86
0.1;0.66;400;816.15
0.1;0.68;400;818.97
0.1;0.7;400;821.79
1.5;0.04;400;473.16
1.5;0.06;400;540.79
1.5;0.08;400;585.65
1.5;0.1;400;623.26
1.5;0.12;400;650.4
1.5;0.14;400;670.88
1.5;0.16;400;685.93
1.5;0.18;400;698.62
1.5;0.2;400;709.3
1.5;0.22;400;717.42
1.5;0.24;400;725.15
1.5;0.26;400;731.53
1.5;0.28;400;737.64
1.5;0.3;400;743.75
1.5;0.32;400;749.66
1.5;0.34;400;754.16
1.5;0.36;400;758.39
1.5;0.38;400;762.09
1.5;0.4;400;765.85
1.5;0.42;400;768.2
1.5;0.44;400;771.15
1.5;0.46;400;773.37
1.5;0.48;400;776.66
1.5;0.5;400;778.54
1.5;0.52;400;779.75
1.5;0.54;400;780.56
1.5;0.56;400;780.42
1.5;0.58;400;782.3
1.5;0.6;400;782.77
1.5;0.62;400;783.71
1.5;0.64;400;784.65
1.5;0.66;400;784.65
1.5;0.68;400;785.59
1.5;0.7;400;786.06
90;0.04;400;518.49
90;0.06;400;579.14
90;0.08;400;625.08
90;0.1;400;663.02
90;0.12;400;696.2
90;0.14;400;722.6
90;0.16;400;742.01
90;0.18;400;758.33
90;0.2;400;771.42
90;0.22;400;781.36
90;0.24;400;789.83
90;0.26;400;797.68
90;0.28;400;804.87
90;0.3;400;810.98
90;0.32;400;816.42
90;0.34;400;821.32
90;0.36;400;826.03
90;0.38;400;829.05
90;0.4;400;832.47
90;0.42;400;834.96
90;0.44;400;837.31
90;0.46;400;839.19
90;0.48;400;841.07
90;0.5;400;842.48
90;0.52;400;843.89
90;0.54;400;844.83
90;0.56;400;846.24
90;0.58;400;847.18
90;0.6;400;848.12
90;0.62;400;849.06
90;0.64;400;849.94
90;0.66;400;850
90;0.68;400;851.75
90;0.7;400;851.88
0.1;0.04;500;400.98
0.1;0.06;500;450.97
0.1;0.08;500;482.64
0.1;0.1;500;505.53
0.1;0.12;500;523.76
0.1;0.14;500;537.15
0.1;0.16;500;547.89
0.1;0.18;500;557.24
0.1;0.2;500;565.66
0.1;0.22;500;572.39
0.1;0.24;500;579.23
0.1;0.26;500;584.38
0.1;0.28;500;590.56
0.1;0.3;500;595.62
0.1;0.32;500;599.85
0.1;0.34;500;604.08
0.1;0.36;500;607.82
0.1;0.38;500;611.5
0.1;0.4;500;614.34
0.1;0.42;500;617.23
0.1;0.44;500;620.4
0.1;0.46;500;623.05
0.1;0.48;500;625.52
0.1;0.5;500;628.79
0.1;0.52;500;631.12
0.1;0.54;500;634.38
0.1;0.56;500;636.71
0.1;0.58;500;639.51
0.1;0.6;500;641.37
0.1;0.62;500;642.77
0.1;0.64;500;645.49
0.1;0.66;500;648.31
0.1;0.68;500;650.23
0.1;0.7;500;652.56
1.5;0.04;500;456.12
1.5;0.06;500;516.77
1.5;0.08;500;557.79
1.5;0.1;500;585.37
1.5;0.12;500;602.07
1.5;0.14;500;615.17
1.5;0.16;500;625.74
1.5;0.18;500;634.15
1.5;0.2;500;642.1
1.5;0.22;500;648.66
1.5;0.24;500;654.42
1.5;0.26;500;659.43
1.5;0.28;500;663.65
1.5;0.3;500;667.47
1.5;0.32;500;670.74
1.5;0.34;500;674.92
1.5;0.36;500;678.66
1.5;0.38;500;682.85
1.5;0.4;500;686.18
1.5;0.42;500;690.78
1.5;0.44;500;694.16
1.5;0.46;500;697.77
1.5;0.48;500;701.03
1.5;0.5;500;704.3
1.5;0.52;500;708.25
1.5;0.54;500;712.01
1.5;0.56;500;715.95
1.5;0.58;500;719.82
1.5;0.6;500;723.27
1.5;0.62;500;725.38
1.5;0.64;500;728.53
1.5;0.66;500;731.69
1.5;0.68;500;734.59
1.5;0.7;500;737.86
90;0.04;500;504.35
90;0.06;500;581.26
90;0.08;500;638.39
90;0.1;500;680.92
90;0.12;500;714.1
90;0.14;500;741.21
90;0.16;500;762.52
90;0.18;500;778.89
90;0.2;500;792.86
90;0.22;500;804.51
90;0.24;500;813.83
90;0.26;500;819.89
90;0.28;500;824.55
90;0.3;500;828.21
90;0.32;500;831.08
90;0.34;500;833.41
90;0.36;500;835.27
