PhiDot;Phi;Temp;kf
90;0.20;600;634.11
90;0.22;600;641.83
90;0.24;600;648.57
90;0.26;600;654.22
90;0.28;600;659.70
90;0.30;600;664.47
90;0.32;600;668.48
90;0.34;600;672.27
90;0.36;600;675.39
90;0.38;600;678.39
90;0.40;600;680.73
90;0.42;600;683.19
90;0.44;600;685.64
90;0.46;600;687.49
90;0.48;600;689.87
90;0.50;600;691.65
90;0.52;600;693.38
90;0.54;600;694.77
90;0.56;600;695.44
90;0.58;600;696.55
90;0.60;600;697.44
90;0.62;600;698.34
90;0.64;600;699.23
90;0.66;600;699.90
90;0.68;600;700.56
90;0.70;600;701.45
0.1;0.04;700;173.91
0.1;0.06;700;182.21
0.1;0.08;700;188.22
0.1;0.10;700;193.32
0.1;0.12;700;196.92
0.1;0.14;700;199.86
0.1;0.16;700;202.46
0.1;0.18;700;203.80
0.1;0.20;700;205.13
0.1;0.22;700;205.58
0.1;0.24;700;205.80
0.1;0.26;700;205.58
0.1;0.28;700;205.13
0.1;0.30;700;205.13
0.1;0.32;700;205.35
0.1;0.34;700;204.91
0.1;0.36;700;205.13
0.1;0.38;700;205.46
0.1;0.40;700;205.58
0.1;0.42;700;205.80
0.1;0.44;700;205.56
0.1;0.46;700;205.58
0.1;0.48;700;204.91
0.1;0.50;700;204.69
0.1;0.52;700;204.24
0.1;0.54;700;203.80
0.1;0.56;700;203.57
0.1;0.58;700;203.04
0.1;0.60;700;202.91
0.1;0.62;700;202.68
0.1;0.64;700;202.68
0.1;0.66;700;202.68
0.1;0.68;700;202.24
0.1;0.70;700;201.90
1.5;0.04;700;216.87
1.5;0.06;700;232.98
1.5;0.08;700;245.81
1.5;0.10;700;256.29
1.5;0.12;700;264.78
1.5;0.14;700;271.75
1.5;0.16;700;277.03
1.5;0.18;700;281.41
1.5;0.20;700;284.82
1.5;0.22;700;287.93
1.5;0.24;700;289.94
1.5;0.26;700;291.27
1.5;0.28;700;292.38
1.5;0.30;700;293.05
1.5;0.32;700;293.50
1.5;0.34;700;293.72
1.5;0.36;700;294.17
1.5;0.38;700;295.28
1.5;0.40;700;295.50
1.5;0.42;700;296.39
1.5;0.44;700;296.39
1.5;0.46;700;296.61
1.5;0.48;700;296.73
1.5;0.50;700;296.39
1.5;0.52;700;296.61
1.5;0.54;700;296.61
1.5;0.56;700;296.39
1.5;0.58;700;296.31
1.5;0.60;700;295.50
1.5;0.62;700;294.83
1.5;0.64;700;295.06
1.5;0.66;700;294.83
1.5;0.68;700;294.68
1.5;0.70;700;294.83
90;0.04;700;384.70
90;0.06;700;407.49
90;0.08;700;426.10
90;0.10;700;441.71
90;0.12;700;454.03
90;0.14;700;464.13
90;0.16;700;473.23
90;0.18;700;480.77
90;0.20;700;487.11
90;0.22;700;492.26
90;0.24;700;496.72
90;0.26;700;499.83
90;0.28;700;502.50
90;0.30;700;504.73
90;0.32;700;506.50
90;0.34;700;508.29
90;0.36;700;509.63
90;0.38;700;510.19
90;0.40;700;511.41
90;0.42;700;512.30
90;0.44;700;513.41
90;0.46;700;514.97
90;0.48;700;515.41
90;0.50;700;516.75
90;0.52;700;517.19
90;0.54;700;517.86
90;0.56;700;518.08
90;0.58;700;518.31
90;0.60;700;517.99
90;0.62;700;518.08
90;0.64;700;518.08
90;0.66;700;516.97
90;0.68;700;517.42
90;0.70;700;517.64
1.5;0.05;900;130.018
1.5;0.05;1000;922.026
1.5;0.05;1100;61.78
1.5;0.05;1200;413.996
1.5;0.075;900;143.719
1.5;0.075;1000;948.903
1.5;0.075;1100;68.016
1.5;0.075;1200;460.447
1.5;0.1;900;154.303
1.5;0.1;1000;105.349
1.5;0.1;1100;720.373
1.5;0.1;1200;505.156
1.5;0.125;900;161.476
1.5;0.125;1000;110.433
1.5;0.125;1100;750.096
1.5;0.125;1200;541.156
1.5;0.15;900;167.533
1.5;0.15;1000;114.64
1.5;0.15;1100;785.065
1.5;0.15;1200;565.542
1.5;0.175;900;172.766
1.5;0.175;1000;117.912
1.5;0.175;1100;813.622
1.5;0.175;1200;587.026
1.5;0.2;900;176.941
1.5;0.2;1000;120.775
1.5;0.2;1100;835.186
1.5;0.2;1200;601.542
1.5;0.225;900;180.175
1.5;0.225;1000;123.404
1.5;0.225;1100;85.267
1.5;0.225;1200;609.671
1.5;0.25;900;183.292
1.5;0.25;1000;125.391
1.5;0.25;1100;871.319
1.5;0.25;1200;617.219
1.5;0.275;900;185.467
1.5;0.275;1000;127.319
1.5;0.275;1100;879.479
1.5;0.275;1200;624.187
1.5;0.3;900;186.996
1.5;0.3;1000;128.079
1.5;0.3;1100;887.055
1.5;0.3;1200;624.187
1.5;0.325;900;187.996
1.5;0.325;1000;128.78
1.5;0.325;1100;89.638
1.5;0.325;1200;623.606
1.5;0.35;900;188.878
1.5;0.35;1000;129.539
1.5;0.35;1100;907.453
1.5;0.35;1200;631.155
1.5;0.375;900;189.995
1.5;0.375;1000;130.24
1.5;0.375;1100;91.503
1.5;0.375;1200;631.155
1.5;0.4;900;190.524
1.5;0.4;1000;130.24
1.5;0.4;1100;91.503
1.5;0.4;1200;628.832
1.5;0.425;900;189.877
1.5;0.425;1000;129.773
1.5;0.425;1100;91.503
1.5;0.425;1200;623.026
1.5;0.45;900;189.701
1.5;0.45;1000;129.306
1.5;0.45;1100;910.367
1.5;0.45;1200;623.026
1.5;0.475;900;189.23
1.5;0.475;1000;128.897
1.5;0.475;1100;912.116
1.5;0.475;1200;619.542
1.5;0.5;900;188.642
1.5;0.5;1000;128.195
1.5;0.5;1100;907.453
1.5;0.5;1200;619.542
1.5;0.525;900;187.76
1.5;0.525;1000;127.786
1.5;0.525;1100;904.539
1.5;0.525;1200;615.477
1.5;0.55;900;186.467
1.5;0.55;1000;127.085
1.5;0.55;1100;901.625
1.5;0.55;1200;611.413
1.5;0.575;900;184.762
1.5;0.575;1000;125.566
1.5;0.575;1100;898.128
1.5;0.575;1200;605.026
1.5;0.6;900;183.056
1.5;0.6;1000;124.222
1.5;0.6;1100;893.466
1.5;0.6;1200;600.961
1.5;0.625;900;180.822
1.5;0.625;1000;123.229
1.5;0.625;1100;889.969
1.5;0.625;1200;598.639
1.5;0.65;900;179.117
1.5;0.65;1000;122.002
1.5;0.65;1100;889.969
1.5;0.65;1200;592.252
1.5;0.675;900;176.706
1.5;0.675;1000;120.775
1.5;0.675;1100;885.307
1.5;0.675;1200;585.865
1.5;0.7;900;174.707
1.5;0.7;1000;119.665
1.5;0.7;1100;880.061
1.5;0.7;1200;578.897
8;0.05;900;156.129
8;0.05;1000;116.042
8;0.05;1100;789.727
8;0.05;1200;604.445
8;0.075;900;172.212
8;0.075;1000;124.865
8;0.075;1100;853.835
8;0.075;1200;657.864
8;0.1;900;183.582
8;0.1;1000;131.643
8;0.1;1100;903.374
8;0.1;1200;700.251
8;0.125;900;191.123
